"address","descriptive_name","confidence","disc1_present","disc2_present","instructions","static_call_sites","direct_callees","has_return","disc1_overlay_referenced","disc2_overlay_referenced","embedded_asset_range","disc1_seed_evidence","disc2_seed_evidence","disc1_exact_sha256","disc2_exact_sha256","structural_sha256","sf3_address","sf3_match_kind"
"0x8004ec7c",,,"1","1","174","6","3","1","0","0","0","direct_call","direct_call","c3b46ea6b007aacae5c0aad26cd05829026e88bc3cced2da9695e03ef39a6189","c3b46ea6b007aacae5c0aad26cd05829026e88bc3cced2da9695e03ef39a6189","070addb9581c1aec5d0a3bc403a3b1911eee4da4b27387e4e0fb131146737144","0x800501DC","structural"
"0x8004ef34",,,"1","1","20","0","1","1","0","0","0","prologue_only","prologue_only","146f625653f4f9b486aabf912436b638eb6a4eb207de22421fbcca0925729a33","146f625653f4f9b486aabf912436b638eb6a4eb207de22421fbcca0925729a33","fafa3c1d389e7e080c64d33144a98f0292a1993f9be0f80e1a1bcc8ed36f899d","0x80050494","structural"
"0x8004ef84",,,"1","1","25","3","0","1","0","0","0","direct_call","direct_call","63aa14cfa365118319452596d8ade416a31deec7916c6607912d47cde4551371","63aa14cfa365118319452596d8ade416a31deec7916c6607912d47cde4551371","48e3e986600c24cb259835ea7647f514816139aeb2b7875ce0c89e915c70b4a3","0x800504E4","structural"
"0x8004efe8",,,"1","1","47","1","1","1","0","0","0","direct_call","direct_call","c2d7041e0bd8eff5f36cb3ae234172af40c12c885726412f5034cb96ab482f41","c2d7041e0bd8eff5f36cb3ae234172af40c12c885726412f5034cb96ab482f41","f0c8e13599d694a62d842f55bedb41e71701565b8ed82ba7e5eac70211bd601b","0x80050548","structural"
"0x8004f0a4",,,"1","1","28","1","0","1","0","0","0","direct_call","direct_call","7394db7f45054ff43fc49d3eeed8984988ac255e07b9444a9c769d56d9f6378a","7394db7f45054ff43fc49d3eeed8984988ac255e07b9444a9c769d56d9f6378a","542446d418aae36328cb6529bfde3ce79d679c3bd83702a258c89d25f318af95",,
"0x8004f114",,,"1","1","28","1","0","1","0","0","0","direct_call","direct_call","9c251b0ee8eea95cb8868970d0eab0ce44e7e71b50c5f08d53465795e8ea9a61","9c251b0ee8eea95cb8868970d0eab0ce44e7e71b50c5f08d53465795e8ea9a61","542446d418aae36328cb6529bfde3ce79d679c3bd83702a258c89d25f318af95",,
"0x8004f184",,,"1","1","47","1","1","1","0","0","0","direct_call","direct_call","60ae2e11b699a8f2b8ddf8d7d1da472ad151bd91df806e7937d6cdb136f4acef","60ae2e11b699a8f2b8ddf8d7d1da472ad151bd91df806e7937d6cdb136f4acef","e6cf8920298c2637633ffbf2fa5dc2d9f8419de2217f14f01cd1f23506a183fd","0x800506E4","structural"
"0x8004f240",,,"1","1","47","1","1","1","0","0","0","direct_call","direct_call","8a443b9b3fd281c040567cc541105d3008291778d4cf2fe76741f35e5ca3e2a9","8a443b9b3fd281c040567cc541105d3008291778d4cf2fe76741f35e5ca3e2a9","b679e5d5a2fa5d461f6e7ff776bdd5142bc98fc12e5fe1b3d908de1fa8402719","0x800507A0","structural"
"0x8004f2fc",,,"1","1","28","1","0","1","0","0","0","direct_call","direct_call","d957446f382492c9d3871921a831e7e3fc375b670104d3b881f1e450eb4a3924","d957446f382492c9d3871921a831e7e3fc375b670104d3b881f1e450eb4a3924","542446d418aae36328cb6529bfde3ce79d679c3bd83702a258c89d25f318af95",,
"0x8004f36c",,,"1","1","51","1","6","1","1","1","0","direct_call+overlay","direct_call+overlay","6bda8d50b7693aeb0c10ef1ce8c197d2edc823446d27edc98539d28683cfe55b","6bda8d50b7693aeb0c10ef1ce8c197d2edc823446d27edc98539d28683cfe55b","95db4c22ff2f1e1635f510ca7a794e6d597338a19a9795dab51dc34fd367adf1","0x800508CC","structural"
